wiki_data_id,title,main_subject,follows,genre,performer,country_of_origin,original_language_of_film_or_TV_show,publication_date,director,screenwriter,cast_member,director_of_photography,film_editor,production_designer,costume_designer,composer,producer,production_company,distributed_by,narrative_location,filming_location,duration,award_received,nominated_for,box_office,cost,collection,imdb_id,metascore,imdbrating,imdbvotes
Q1120277,Alice in Wonderland,?,?,"film based on a novel,fantasy film",?,United States of America,?,1933-01-01T00:00:00Z,Norman Z. McLeod,"Joseph L. Mankiewicz,William Cameron Menzies","Leon Errol,William Austin,Alison Skipworth,Roscoe Ates,Cary Grant,May Robson,Baby LeRoy,Polly Moran,Edward Everett Horton,Richard ""Skeets"" Gallagher,Sterling Holloway,Ned Sparks,Richard Arlen,Jack Oakie,Roscoe Karns,Mae Marsh,W. C. Fields,Raymond Hatton,Ford Sterling,Edna May Oliver,Charles Ruggles,Gary Cooper,Louise Fazenda,Alec B. Francis,Charlotte Henry","Henry Sharp,Bert Glennon",Ellsworth Hoagland,William Cameron Menzies,?,Dimitri Tiomkin,Benjamin Glazer,Paramount Pictures,"FandangoNow,Paramount Pictures",?,?,?,?,?,?,?,?,?,54,6.4,"1,953"
Q1129506,Tangled,?,?,"thriller film,drama",?,United States of America,?,2001-01-01T00:00:00Z,?,Jeffrey Lieber,"Shawn Hatosy,Rachael Leigh Cook,Estella,Jonathan Rhys Meyers,Lorraine Bracco",Bobby Bukowski,Emma E. Hickox,?,?,Reinhold Heil,Rachael Leigh Cook,?,Netflix,?,Toronto,86,?,?,?,?,?,?,N/A,5.6,"2,348"
Q127421,King Kong Lives,?,King Kong,"action film,drama,fantasy film,horror film",?,United States of America,?,"1986-12-19T00:00:00Z,1987-05-08T00:00:00Z",John Guillermin,"Steven Pressfield,Ronald Shusett","Michael Forest,Nat Christian,Jimmie Ray Weeks,Leon Rippy,Mike Starr,Jessica Lange,Jeff Bridges,Brian Kerwin,John Ashton,Linda Hamilton,Peter Michael Goetz,Peter Elliott",Alec Mills,Malcolm Cooke,?,?,John Scott,"Ronald Shusett,Dino De Laurentiis",De Laurentiis Entertainment Group,"Netflix,De Laurentiis Entertainment Group",Georgia,North Carolina,98,?,Golden Raspberry Award for Worst Visual Effects,?,?,?,?,32,3.9,"5,582"
Q14171368,Avengers: Age of Ultron,artificial intelligence,?,"adventure film,action film,superhero film,science fiction film",Brian Tyler,United States of America,?,"2015-04-22T00:00:00Z,2015-04-23T00:00:00Z,2015-05-07T00:00:00Z,2015-04-30T00:00:00Z,2015-05-01T00:00:00Z",Joss Whedon,"Jack Kirby,Stan Lee,Joss Whedon","Scarlett Johansson,Anthony Mackie,Josh Brolin,Julia Krynke,Stellan Skarsgård,Earl T. Kim,Isabella Poynton,Antony Acheampong,Kabelo Thai,Constanza Ruff,Riccardo Richetta,Arthur Lee,Harriet Manamela,Bentley Kalu,Chris Hemsworth,Denis Khoroshko,Minhee Yeo,James Spader,Andy Serkis,Musca Kumalo,Henry Goodman,Verity Hewlitt,Monty Mclaren-Clark,Alma Noce,Aaron Taylor-Johnson,Namju Go,Jeremy Renner,Cobie Smulders,Tony Christian,Don Cheadle,Barry Aird,Ben Sakamoto,Dominique Provost-Chalkley,Vuyo Dabula,Hayley Atwell,Paul Bettany,Imogen Poynton,Aaron Himelstein,Julian Bleach,Isaac Andrews,Mina Kweon,Stan Lee,Idris Elba,Claudia Kim,Julie Delpy,Linda Cardellini,Thomas Kretschmann,Lex Lang,Mathapelo September,Christopher Beasley,Nondumiso Tembe,Beulah Hashe,Ian Kay,Elizabeth Olsen,Gareth Kieran Jones,Michael Matovski,Chioma Anyanwu,Jaiden Stafford,Ingvild Deila,Mandla Gaduka,Hlologelo Ledwaba,Chris Luca,Brian Schaeffer,Sunny Yeo,Chan Woo Lim,Samuel L. Jackson,Robert Downey Jr.,Chris Evans,Mark Ruffalo",Ben Davis,"Lisa Lassek,Jeffrey Ford",Charles Wood,Alexandra Byrne,"Brian Tyler,Danny Elfman",Kevin Feige,Marvel Studios,"FandangoNow,Fórum Hungary,Disney+,Walt Disney Studios Motion Pictures","Norway,New York City,London","London,Digital Media City,Johannesburg,Sainsbury Centre for Visual Arts,Fort Bard,South Africa,Chattogram,Bourne Wood,Seoul,Hendon Police College,Shepperton Studios,Mapo Bridge,Royal Holloway, University of London,Dover Castle,Hawley",141,"Annie Award for Outstanding Achievement, Animated Effects in a Live Action Production,Teen Choice Award for Choice Movie Scene Stealer,Saturn Award for Best Costume","Teen Choice Award for Choice Movie Actor - Sci-Fi/Fantasy,MTV Movie Award for Best Villain,Teen Choice Award for Choice Movie Actor - Sci-Fi/Fantasy,Teen Choice Award for Choice Movie - Sci-Fi/Fantasy,MTV Movie Award for Best Hero,MTV Movie Award for Best Virtual Performance,Saturn Award for Best Supporting Actor,Teen Choice Award for Choice Movie Actress - Sci-Fi/Fantasy,MTV Movie Award for Best Movie,MTV Movie Award for Ensemble Cast,Annie Award for Outstanding Achievement for Character Animation in a Live Action Production,Saturn Award for Best Special Effects,Annie Award for Outstanding Achievement for Character Animation in a Live Action Production,Teen Choice Award for Choice Movie Breakout Star,Saturn Award for Best Comic-to-Film Motion Picture,MTV Movie Award for Best Fight","12076641.76,459005868,1402805868",250000000,?,?,66,7.3,"769,535"
Q14650496,Fast and Furious 7 (Furious 7),"motor car,terrorism",?,"comedy film,action film,thriller film,heist film,drama",?,United States of America,?,"2015-03-26T00:00:00Z,2015-04-02T00:00:00Z,2015-04-01T00:00:00Z",James,Chris Morgan,"Brittney Alger,Iggy Azalea,Djimon Hounsou,Sung Kang,Nathalie Kelley,Bow Wow,Michelle Rodrigue,Jordana Brewster,T-Pain,Steve Coulter,Alina Andrei,Robert Pralgo,John Brotherton,Elsa Pataky,Cody Walker,Luke Evans,Lucas Black,Tara Macken,Ludacris,Kurt Russell,John Cenatiempo,Noel Gugliemi,Jorge Pallo,Gal Gadot,Ali Fazal,Jocelin Donahue,Lateef Crowder Dos Santos,Nathalie Emmanuel,Vin Diesel,Tyrese Gibson,Ronda Rousey,Tony Jaa,Paul Walker,Jason Statham,Dwayne Johnson",Stephen F. Windon,Christian Wagner,?,?,Brian Tyler,"Neal H. Moritz,Vin Diesel",Universal Pictures,"Netflix,FandangoNow,UIP-Dunafilm","Abu Dhabi,Tokyo,London,Los Angeles","Los Angeles,Abu Dhabi,Colorado,Leo Carrillo State Park,Atlanta",137,?,?,"1515047671,353007020",190000000,?,?,67,7.1,"366,588"
Q14772351,Batman v Superman: Dawn of Justice,"alien invasion,terrorism",?,"science fiction film,fictional crossover,action film,superhero film",Hans Zimmer,United States of America,?,"2016-03-25T00:00:00Z,2016-03-23T00:00:00Z,2016-03-24T00:00:00Z,2016-03-24T00:00:00Z",Zack Snyder,"David S. Goyer,Chris Terrio","Jena Malone,Carla Gugino,Bailey Chase,Joe Morton,Robin Atkin Downes,Michael Shannon,Henry Cavill,Jon Stewart,Lauren Cohan,Kevin Costner,Jason Momoa,Holly Hunter,Michael Cassidy,Dan Amboyer,Amy Adams,Gal Gadot,Laurence Fishburne,Scoot McNairy,Jeffrey Dean Morgan,Patrick Wilson de Chiappo,Nicole Forester,Ezra Miller,Sammi Rotibi,Ray Fisher,Harry Lennix,Callan Mulvey,Nancy Grace,Chris Pine,Emily Peterson,Ciarán Hinds,Neil deGrasse Tyson,Jesse Eisenberg,Saïd Taghmaoui,Jeremy Irons,Diane Lane,Tao Okamoto,Chad Krowchuk,Ben Affleck",Larry Fong,David Brenner,Patrick Tatopoulos,Michael Wilkinson,"Junkie XL,Hans Zimmer","Charles Roven,Deborah Snyder","The Stone Quarry,DC Entertainment,RatPac-Dune Entertainment","FandangoNow,InterCom,Warner Bros.,Netflix","Gotham City,Metropolis","Detroit,Washington, D.C.,Toronto,Motown Motion Picture Studios,Deming,New Mexico,East Los Angeles College,Aragon Ballroom,Los Angeles,Birmingham",185,"Golden Raspberry Award for Worst Prequel, Remake, Rip-off or Sequel,Golden Raspberry Award for Worst Screen Couple/Ensemble,Golden Raspberry Award for Worst Supporting Actor,Golden Raspberry Award for Worst Screenplay",?,873634919,250000000,?,?,44,6.4,"652,634"
Q152350,Броненосец «Потёмкин»,?,?,"silent film,propaganda film",?,Soviet Union,?,1925-12-21T00:00:00Z,Sergei Eisenstein,"Nikolai Aseev,Nina Agadzhanova-Shutko,Sergei Tretyakov,Sergei Eisenstein","Aleksanteri Ahola-Valo,Vladimir Barsky,Andrei Fajt,Beatrice Vitoldi,Sergei Eisenstein,Grigori Aleksandrov,Aleksandr Stepanovich Antonov,Aleksandr Pavlovich Antonov","Vladimir Popov,Eduard Tisse","Grigori Aleksandrov,Sergei Eisenstein",?,?,Nikolai Nikolayevich Kryukov,Yakov Bliokh,"Mosfilm,State Committee for Cinematography","State Committee for Cinematography,FandangoNow,Netflix",Ukraine,?,74,?,?,?,?,Museum of Modern Art,?,97,8.0,"54,136"
Q161087,Pirates of the Caribbean: Dead Man's Chest,sea piracy,?,"fantasy film,action film,treasure hunt film,comedy film,swashbuckler film,pirate film,adventure film",?,United States of America,?,"2006-07-27T00:00:00Z,2006-08-02T00:00:00Z,2006-07-07T00:00:00Z",Gore Verbinski,"Ted Elliott,Terry Rossio","Jack Davenport,David Bailie,Vanessa Branch,Kevin McNally,Luke de Woolfson,Derrick O'Connor,Christopher Adamson,Alex Norton,Peter Donald Badalamenti II,Reggie Lee,Jonathan Pryce,Naomie Harris,Sammi Hanratty,Ron Bottitta,Karly Rothenberg,Marco Khan,Jonathan Kite,Robbie Gee,Geoffrey Rush,Lee Arenberg,Omar Gooding,Stellan Skarsgård,Orlando Bloom,Bill Nighy,Keira Knightley,Johnny Depp,Martin Klebba,David Schofield,Tom Hollander,Mackenzie Crook",Dariusz Wolski,"Craig Wood,Stephen E. Rivkin",Rick Heinrichs,Penny Rose,Hans Zimmer,Jerry Bruckheimer,"Jerry Bruckheimer,Walt Disney Pictures,Jerry Bruckheimer Films","Disney+,Netflix,FandangoNow,Fórum Hungary",Haiti,"The Bahamas,Saint Vincent,Walt Disney Studios,Morne Trois Pitons National Park,Palos Verdes Peninsula,Dominica,Universal Pictures,Grand Bahama",145,"Academy Award for Best Visual Effects,TV Krant Filmposter Award","Academy Award for Best Visual Effects,Academy Award for Best Sound,Academy Award for Best Sound Editing,Academy Award for Best Production Design",1066179725,225000000,?,?,53,7.3,"664,780"
Q161687,Harry Potter and the Half-Blood Prince,?,?,"film based on a novel,fantasy film",?,"United Kingdom,United States of America",?,"2009-07-15T00:00:00Z,2009-07-16T00:00:00Z,2009-07-06T00:00:00Z,2009-07-23T00:00:00Z,2009-07-15T00:00:00Z",David Yates,Steve Kloves,"Elarica Gallacher,Geraldine Somerville,Oliver Phelps,Suzie Toase,Anna Shaffer,Katie Leung,Jason Isaacs,William Melling,Shefali Chowdhury,Afshan Azad,Ralph Ineson,Scarlett Byrne,Frank Dillane,Imelda Staunton,Elliot Francis,James Phelps,Emma Watson,Tom Felton,Joshua Herdman,David Bradley,Daniel Radcliffe,Gemma Jones,Alfred Enoch,Rupert Grint,Jamie Waylett,David Thewlis,Maggie Smith,Helena Bonham Carter,Warwick Davis,el jiruu,Jim Broadbent,Natalia Tena,Timothy Spall,Devon Murray,Mark Williams,Jessie Cave,Julie Walters,Freddie Stroma,Bonnie Wright,Alan Rickman,Michael Gambon,Helen McCrory,Evanna Lynch,Robbie Coltrane,Matthew Lewis,Dave Legeno,Georgina Leonidas,Rob Knox",Bruno Delbonnel,Mark Day,Stuart Craig,Jany Temime,Nicholas Hooper,"David Barron,David Heyman","Heyday Films,Warner Bros.","InterCom,Netflix,FandangoNow,Warner Bros.","England,London,Scotland","London,Hertfordshire,Gloucester Cathedral",147,MTV Movie Award for Best Villain,Academy Award for Best Cinematography,933959197,250000000,?,?,78,7.6,"486,826"
Q171711,Star Trek Into Darkness,terrorism,?,"science fiction film,adventure film,action film,science fiction action film",Michael Giacchino,United States of America,?,"2013-05-09T00:00:00Z,2013-05-16T00:00:00Z,2013-05-10T00:00:00Z",J. J. Abrams,"Damon Lindelof,Roberto Orci,Alex Kurtzman","Jennifer Morrison,Kevin Michael Richardson,Akiva Goldsman,Scott Lawrence,Chris Hemsworth,Nolan North,Joseph Gatt,Amanda Foreman,Aisha Hinds,Nick E. Tarabay,Bill Hader,Leonard Nimoy,Nazneen Contractor,Karl Urban,Heather Langenkamp,Zoe Saldana,Alice Eve,Benedict Cumberbatch,Zachary Quinto,Noel Clarke,Anton Yelchin,Bruce Greenwood,John Cho,Chris Pine,Peter Weller,Simon Pegg",Daniel Mindel,Maryann Brandon,Scott Chambliss,Michael Kaplan,Michael Giacchino,"Roberto Orci,Bryan Burk,Alex Kurtzman,J. J. Abrams,Damon Lindelof","Bad Robot Productions,Paramount Pictures,Skydance Media","UIP-Dunafilm,Paramount Pictures,Netflix,FandangoNow","San Francisco,USS Vengeance,London,Starfleet Headquarters,Qo'noS","Lawrence Livermore National Laboratory,Greystone Park,Crystal Cathedral,Vasquez Rocks,J. Paul Getty Museum,Getty Center,Reynisfjall,Los Angeles,Sony Stage 15,Spruce Goose Hangar,Iceland,Grand Avenue,National Ignition Facility",132,?,Academy Award for Best Visual Effects,467381584,190000000,?,?,72,7.7,"466,553"
